koddun,name,candidate,main_party,party,votes_received,registered_voter
1,Ayer Hangat,Shamsilah Siru,PN,BERSATU,10701,33156
1,Ayer Hangat,Safwan Hanif,IND,IND,6877,33156
1,Ayer Hangat,Hisham Suhaily Othman,BN,UMNO,4909,33156
1,Ayer Hangat,Zulfadli Mohd Yusoff,IND,IND,134,33156
2,Kuah,Amar Pared Mahamud,PN,BERSATU,13364,34694
2,Kuah,Ahmad Fauzi Chik,PH,PKR,5394,34694
2,Kuah,Mazlan Ahmad,IND,IND,2013,34694
3,Kota Siputeh,Mohd Ashraf Mustaqim,PN,BERSATU,17180,29777
3,Kota Siputeh,Salmee Said,PH,AMANAH,4090,29777
3,Kota Siputeh,Abdullah Ramli,IND,IND,312,29777
4,Ayer Hitam,Azhar Ibrahim (Cikgu Azhar),PN,PAS,22078,37819
4,Ayer Hitam,Hayazi Azizan,BN,UMNO,6105,37819
5,Bukit Kayu Hitam,Halimaton Shaadiah Saad (Kak Ton),PN,BERSATU,24551,46054
5,Bukit Kayu Hitam,Zainol Abidin Mohamad (Cikgu Non),BN,UMNO,9117,46054
6,Jitra,Haim Hilman Abdullah (Prof Haim),PN,PAS,34342,63059
6,Jitra,Sabrina Ahmad,PH,PKR,11170,63059
7,Kuala Nerang,Munir Zakaria (Hj. Munir),PN,PAS,19661,31481
7,Kuala Nerang,Ridzwan Abu Bakar,PH,AMANAH,4215,31481
8,Pedu,Mohd Radzi Md Amin,PN,PAS,14397,28606
8,Pedu,Mahdzir Khalid,BN,UMNO,8024,28606
9,Bukit Lada,Salim Mahmood Al-Hafiz,PN,PAS,24183,40729
9,Bukit Lada,Said Ali Syed Rastan,BN,UMNO,6772,40729
10,Bukit Pinang,Wan Romani Wan Salim,PN,PAS,23041,36791
10,Bukit Pinang,Hazir Mat Zain,PH,PKR,4780,36791
11,Derga,Muhamad Amri Wahab,PN,BERSATU,14433,37738
11,Derga,Tan Kok Yew,PH,DAP,10771,37738
11,Derga,Man Basiron,IND,IND,241,37738
12,Suka Menanti,Dzowahir Ab Ghani,PN,BERSATU,18396,41957
12,Suka Menanti,Zamri Yusuf,PH,PKR,10151,41957
13,Kota Darul Aman,Teh Swee Leong,PH,DAP,11178,25829
13,Kota Darul Aman,Chuah See Seng,PN,GERAKAN,5528,25829
14,Alor Mengkudu,Radhi Mat Din,PN,PAS,18936,38193
14,Alor Mengkudu,Mahfuz Omar,PH,AMANAH,8832,38193
15,Anak Bukit,Rashidi Razak,PN,PAS,21738,36491
15,Anak Bukit,Noor Hasita Md Isa,BN,UMNO,5907,36491
16,Kubang Rotan,Mohd Salleh Saidin,PN,BERSATU,22951,50233
16,Kubang Rotan,Asmirul Anuar Aris,PH,AMANAH,12165,50233
17,Pengkalan Kundor,Mardhiyyah Johari,PN,PAS,22349,46235
17,Pengkalan Kundor,Ismail Salleh,PH,AMANAH,11317,46235
18,Tokai,Mohd Hayati Othman,PN,PAS,29329,45374
18,Tokai,Zainal Abidin Saad,PH,AMANAH,5410,45374
19,Sungai Tiang,Abdul Razak Khamis,PN,BERSATU,27154,49414
19,Sungai Tiang,Mohamad Fadzil Zolkipli,BN,UMNO,10055,17099
20,Sungai Limau,Ustaz Mohd Azam Abd Samat,PN,PAS,23000,34283
20,Sungai Limau,Siti Balkhis Husain,PH,AMANAH,4096,34283
21,Guar Chempedak,Abdul Ghafar Saad,PN,BERSATU,17266,30085
21,Guar Chempedak,Abdul Paris Abdul Hamid,BN,UMNO,5157,30085
21,Guar Chempedak,Cikgu Ku Abdul Halim,IND,IND,176,30085
22,Gurun,Baddrol Bakhtiar,PN,PAS,17771,40941
22,Gurun,Firdaus Johari,PH,PKR,11187,40941
23,Belantek,Ahmad Sulaiman,PN,PAS,17782,28165
23,Belantek,Mazli Saipi,PH,AMANAH,3626,28165
24,Jeneri,Muhammad Sanusi Md Nor,PN,PAS,21823,35097
24,Jeneri,Muhammad Khizri Abu Kassim,BN,UMNO,5773,35097
25,Bukit Selambau,Azizan Hamzah (Ustaz),PN,PAS,33508,79518
25,Bukit Selambau,Summugan Rengasamy,PH,PKR,21843,79518
25,Bukit Selambau,Dinesh Muniandy,IND,IND,375,79518
26,Tanjong Dawai,Hanif Ghazali,PN,PAS,31996,54629
26,Tanjong Dawai,Shaiful Hazizy Zainol Abidin (Tok Pon),BN,UMNO,9591,54629
27,Pantai Merdeka,Shahrir Long (Ustaz),PN,PAS,32225,51502
27,Pantai Merdeka,Wan Mohalina Wan Mohamad (Kak),BN,UMNO,8534,51502
28,Bakar Arang,Adam Loh Wee Chai,PH,PKR,21889,57867
28,Bakar Arang,Raymond Tai Kuang Tee,PN,GERAKAN,18206,57867
28,Bakar Arang,Tan Kee Chye,PRM,PRM,138,57867
29,Sidam,Bau Wong Bau Eng,PH,PKR,21859,60983
29,Sidam,Juliana Abdul Ghani,PN,BERSATU,20905,60983
30,Bayu,Mohd Taufik Yaacob,PN,BERSATU,27287,47613
30,Bayu,Ishak Mat,BN,UMNO,9705,47613
31,Kupang,Najmi Hj Ahmad,PN,PAS,26366,42720
31,Kupang,Suhaimi Hamzah,PH,AMANAH,7091,42720
32,Kuala Ketil,Mansor Zakaria,PN,PAS,24872,42184
32,Kuala Ketil,Suriati Che Mid,BN,UMNO,8307,42184
33,Merbau Pulas,Siti Ashah Ghazali,PN,PAS,29919,53323
33,Merbau Pulas,Asmadi Abu Talib (Dato' Chegu Madi),BN,UMNO,10634,53323
34,Lunas,Khairul Anuar Bin Ramli,PN,BERSATU,31537,82212
34,Lunas,Shamsul Anuar Abdullah (Cikgu Samsul),PH,PKR,27054,82212
34,Lunas,Ari,IND,IND,417,82212
34,Lunas,Rajendaran Nadarajan,IND,IND,364,82212
34,Lunas,Pannir Selvam Suppiah,IND,IND,148,82212
35,Kulim,Wong Chia Zhen,PN,GERAKAN,23278,54169
35,Kulim,Awang Teh (Teh Lean Ong),PH,PKR,15536,54169
36,Bandar Baharu,Mohd Suffian Yusoff,PN,PAS,19327,36164
36,Bandar Baharu,Nuraini Yusoff,BN,UMNO,7750,36164
